zpid,city,state,homeStatus,streetAddress,zipcode,bedrooms,bathrooms,price,longitude,latitude,homeType,lotSize,zestimate,rentZestimate,dateSoldString,taxAssessedValue,taxAssessedYear,parcelId
63662682,Greer,SC,SOLD,1008 Carriage Park Cir,29650,4.0,3.0,415000,-82.27929,34.86798,SINGLE_FAMILY,9583.0,581300.0,3153,2021-09-28,402970.0,2023.0,0534410100500
5716098,Lexington,NC,SOLD,1309 Riverwood Dr,27292,3.0,3.0,375000,-80.29264,35.654854,SINGLE_FAMILY,80586.0,447100.0,1900,2022-09-02,262980.0,2023.0,06036L0000006000
29134937,Arlington,TX,SOLD,1418 Cardinal St,76010,4.0,2.0,0,-97.08692,32.724987,SINGLE_FAMILY,9147.0,240000.0,1802,2022-05-25,213321.0,2023.0,03243176
101673757,Bayport,MN,OTHER,945 Inspiration Pkwy S,55003,4.0,3.0,571000,-92.787865,45.012478,SINGLE_FAMILY,10018.0,571000.0,2999,2017-11-14,516300.0,2023.0,1002920420081
49400095,Rainier,WA,OTHER,802 Tipsoo Loop S,98576,3.0,1.25,469900,-122.68318,46.89975,MANUFACTURED,67082.0,469900.0,2114,2000-11-15,429900.0,2023.0,63550014200
43903503,Miami Beach,FL,OTHER,926 Michigan Ave APT 8,33139,1.0,1.0,276700,-80.13882,25.779856,CONDO,,276700.0,1485,2011-06-16,186945.0,2023.0,0242030430080
9281301,Mechanicsburg,PA,OTHER,165 State Rd,17050,2.0,1.0,202800,-77.04897,40.218605,SINGLE_FAMILY,11324.0,202800.0,1688,1994-07-21,120900.0,2023.0,38210295039
53850468,Portland,OR,OTHER,2021 N Dekum St,97217,3.0,1.0,447700,-122.68792,45.571983,SINGLE_FAMILY,5940.0,447700.0,2397,1998-04-13,142300.0,2023.0,R146124
296353253,Aiken,SC,SOLD,117 Pinckney Pl,29803,4.0,4.0,450000,-81.75177,33.499054,SINGLE_FAMILY,15245.0,534800.0,3425,2022-01-03,18330.0,2023.0,1070915001
2064172852,Buckeye,AZ,SOLD,26552 W Taro Dr,85396,2.0,3.0,583990,-112.62325,33.65912,SINGLE_FAMILY,6050.0,580600.0,2399,2022-07-19,,,51012741
194539976,Saint Francisville,LA,SOLD,5792 Sweet Olive Ln,70775,3.0,4.0,0,-91.2538,30.800894,TOWNHOUSE,2178.0,280700.0,1679,2022-06-30,23000.0,2022.0,100002156R
48538172,Beaverton,OR,OTHER,6890 SW 168th Pl,97007,3.0,3.0,638600,-122.849625,45.4699,SINGLE_FAMILY,9583.0,638600.0,2997,2020-05-20,357830.0,2022.0,1S119AD02800
78855922,Victoria,TX,OTHER,103 Bedivere Dr,77904,4.0,2.0,296400,-96.99064,28.852695,SINGLE_FAMILY,11761.0,296400.0,1849,2018-11-20,255298.0,2023.0,1370001800300
250150329,Crowley,TX,SOLD,13625 Founders Ln,76036,4.0,3.0,0,-97.3835,32.5587,SINGLE_FAMILY,6185.0,366400.0,2982,2022-11-28,351910.0,2023.0,42202734
93946401,Nevada,IA,RECENTLY_SOLD,1320 11th St,50201,3.0,1.0,123000,-93.44577,42.024235,SINGLE_FAMILY,8276.0,160800.0,1250,2023-07-19,98400.0,2023.0,1106485540
38837763,Annandale,NJ,OTHER,112 Westchester Ter #910,08801,2.0,2.0,364500,-74.88819,40.63019,SINGLE_FAMILY,,364500.0,2764,2010-04-01,187400.0,2023.0,060007902000080910C0910
35132137,Lakeside Marblehead,OH,OTHER,1014 Lakeview Dr,43440,3.0,2.5,578200,-82.73792,41.543015,SINGLE_FAMILY,11040.0,578200.0,4122,2003-03-14,122830.0,2022.0,0152111034836000
124447758,Meridian,ID,OTHER,7150 N Moon Drummer Way,83646,5.0,4.0,1355900,-116.444145,43.669716,SINGLE_FAMILY,14983.0,1355900.0,5645,2020-08-31,1287600.0,2023.0,R3581670150
35398146,Stow,OH,SOLD,3068 Kent Rd APT 301,44224,1.0,1.0,38500,-81.44837,41.153397,CONDO,766.0,79300.0,874,2023-01-30,18271.0,2022.0,5612354
59433762,Las Vegas,NV,OTHER,7712 Seagull Ave,89145,2.0,2.0,327000,-115.26283,36.16485,SINGLE_FAMILY,4791.0,327000.0,1764,2013-08-29,52001.0,2024.0,13833711039
81092040,Oakland,TN,OTHER,245 Running Brook Ln,38060,5.0,3.0,419300,-89.51186,35.232346,SINGLE_FAMILY,43560.0,419300.0,2693,2017-05-12,76100.0,2023.0,087HC03700000
84301157,Marietta,OK,OTHER,405 S Candlewood Ave,73448,3.0,2.0,123700,-97.1133,33.93278,MANUFACTURED,15000.0,123700.0,1344,2006-07-26,4869.0,2023.0,108500002001000000
43143047,Davie,FL,OTHER,14051 SW 17th St,33325,5.0,4.0,1333700,-80.33636,26.099104,SINGLE_FAMILY,35110.0,1333700.0,7792,2018-07-18,551270.0,2023.0,504015010134
23232081,Vancouver,WA,OTHER,3517 Grant St,98660,2.0,1.0,446900,-122.67795,45.64753,SINGLE_FAMILY,5349.0,446900.0,1994,1975-08-01,438766.0,2023.0,004480000
15781015,Santa Rosa,CA,OTHER,2428 Santa Cruz Ct,95401,4.0,3.0,743600,-122.76638,38.430023,SINGLE_FAMILY,5662.0,743600.0,3750,1996-09-13,288445.0,2023.0,035480025000
21131053,Lakewood,CA,OTHER,11522 215th St APT 4,90715,2.0,3.0,597900,-118.08755,33.83375,CONDO,22160.0,597900.0,2999,2019-04-26,444961.0,2023.0,7060022034
71974119,Grove City,OH,SOLD,1478 Carnoustie Cir,43123,4.0,3.0,415000,-83.04295,39.870384,SINGLE_FAMILY,9583.0,486000.0,2829,2021-08-31,133220.0,2023.0,040012839
33899815,Columbus,OH,OTHER,193 E Kanawha Ave,43214,3.0,2.0,382500,-83.01354,40.070618,SINGLE_FAMILY,8712.0,382500.0,2149,2017-03-08,96810.0,2023.0,01011049200
47258807,Saint Petersburg,FL,OTHER,5327 54th Ave N,33709,2.0,1.0,283700,-82.70575,27.821293,SINGLE_FAMILY,6650.0,283700.0,2078,2008-06-26,64814.0,2022.0,333016868680020020
35025387,Dayton,OH,OTHER,2250 Avalon Ave,45409,2.0,1.0,229900,-84.19388,39.72314,SINGLE_FAMILY,6490.0,229900.0,1227,2013-10-23,39630.0,2022.0,N64003010041
107183264,Beatrice,NE,OTHER,2025 Market St,68310,2.0,1.75,160300,-96.725975,40.264538,SINGLE_FAMILY,7800.0,160300.0,1014,2004-07-29,121425.0,2023.0,012573000
55143216,Highland Village,TX,SOLD,110 N Clearwater Dr,75077,3.0,3.0,0,-97.051895,33.09238,SINGLE_FAMILY,10890.0,512200.0,2795,2023-04-05,454780.0,2023.0,R04418
44902793,Tampa,FL,OTHER,4014 Carrollwood Village Dr,33618,4.0,2.5,809100,-82.509094,28.063606,SINGLE_FAMILY,20037.0,809100.0,4602,2014-10-20,390753.0,2022.0,1828090YE000001000010U
97245487,Bowling Green,KY,OTHER,196 Rigelwood Ln,42101,4.0,3.5,466600,-86.50695,36.987064,SINGLE_FAMILY,43560.0,466600.0,2729,2002-01-19,240000.0,2020.0,028B06A001
2072437845,Madison,AL,SOLD,120 Gary Allen Blvd,35757,4.0,4.0,407787,-86.74598,34.807224,SINGLE_FAMILY,9147.0,456800.0,2624,2022-02-21,,,00000
25960814,North Highlands,CA,OTHER,6524 Channing Dr,95660,3.0,1.0,371000,-121.38038,38.68595,SINGLE_FAMILY,5662.0,371000.0,2199,2002-06-05,387600.0,2023.0,20003330120000
18952149,Lamont,CA,OTHER,9904 San Fernando St,93241,3.0,2.0,268300,-118.92141,35.2652,SINGLE_FAMILY,6098.0,268300.0,1900,2012-02-29,78461.0,2023.0,18607207
30316943,East Concord,NY,OTHER,11207 Springville Boston Rd,14141,3.0,1.5,216600,-78.69289,42.57934,SINGLE_FAMILY,44430.0,216600.0,2169,2007-08-14,51900.0,2023.0,1438892910024
47329203,Winter Haven,FL,OTHER,800 Water Oaks Dr,33880,,,115200,-81.726585,27.968609,MANUFACTURED,7740.0,115200.0,693,2019-03-08,30468.0,2022.0,262909687042000010
20387714,Playa Del Rey,CA,RECENTLY_SOLD,8707 Falmouth Ave UNIT 317,90293,1.0,1.0,687000,-118.43565,33.95433,CONDO,136647.0,712200.0,3034,2023-09-14,664815.0,2023.0,4118008081
83691990,Macomb,MI,SOLD,16659 Angela Dr,48044,4.0,3.0,340000,-82.955505,42.65195,SINGLE_FAMILY,11761.0,419500.0,2689,2021-11-18,155400.0,2023.0,0829152001
9244744,Mechanicsburg,PA,OTHER,880 Acri Rd,17050,4.0,3.0,475300,-76.94449,40.258236,SINGLE_FAMILY,11761.0,475300.0,2768,1993-03-30,246800.0,2023.0,09181310170
5987169,Greensboro,NC,OTHER,3239 Hines Chapel Rd,27405,2.0,1.0,177800,-79.71749,36.1263,SINGLE_FAMILY,23958.0,177800.0,1250,2005-05-26,109200.0,2023.0,127029
338097564,Vacaville,CA,SOLD,255 Gannet St,95688,5.0,3.0,786030,-122.02531,38.41744,SINGLE_FAMILY,5601.0,830900.0,3814,2021-11-15,801720.0,2023.0,0106326070
82340511,Ashland,OR,SOLD,376 Crowson Rd,97520,3.0,2.0,720000,-122.65603,42.17419,SINGLE_FAMILY,179903.0,756000.0,2214,2022-06-06,492390.0,2023.0,10116475
245945370,Campobello,SC,RECENTLY_SOLD,125 Rhonda Rd,29322,,2.0,105000,-82.12528,35.124577,SINGLE_FAMILY,265716.0,479900.0,2704,2023-06-29,8232.0,2023.0,1210004703
40924717,Ashland City,TN,RECENTLY_SOLD,3229 Caldwell Rd,37015,3.0,2.0,300000,-86.99458,36.22029,SINGLE_FAMILY,56628.0,317200.0,2268,2023-12-05,43625.0,2022.0,064    00901 000
6481148,Fuquay Varina,NC,OTHER,103 Rocktree Ct,27526,3.0,2.0,384100,-78.787926,35.558933,SINGLE_FAMILY,82764.0,384100.0,1856,2020-06-02,207232.0,2023.0,0665380369
10775511,Anderson,SC,OTHER,2082 Centerville Rd,29625,3.0,2.0,353200,-82.74486,34.545612,SINGLE_FAMILY,36590.0,353200.0,2070,2015-10-19,11630.0,2022.0,0671502003
97759204,West Jordan,UT,OTHER,4659 W Greensand Dr,84084,3.0,3.0,393200,-112.00191,40.6219,TOWNHOUSE,435.0,393200.0,1891,2016-11-15,210705.0,2023.0,21301050540000
49743148,Bentleyville,PA,OTHER,1124 Old West Rd,15314,4.0,1.0,209000,-80.00769,40.101585,SINGLE_FAMILY,87120.0,209000.0,1200,2013-03-27,119500.0,2023.0,0400070000000205
94880094,Oxford,NC,OTHER,4139 Blue Mountain Rd,27565,4.0,4.0,809900,-78.79264,36.240974,SINGLE_FAMILY,507038.0,809900.0,3446,2018-03-23,449548.0,2022.0,096000161724
35232250,Clinton,OH,SOLD,8741 Wonderland Ave NW,44216,3.0,2.0,242500,-81.52486,40.907883,SINGLE_FAMILY,27839.0,286900.0,1951,2022-05-31,61610.0,2023.0,01602359
75357611,Williamsburg,VA,OTHER,4019 Mill Dam Ct,23188,3.0,2.0,463900,-76.78033,37.324776,SINGLE_FAMILY,10933.0,463900.0,2696,2008-08-26,326500.0,2023.0,3110900129
